Năm,Bang,Bệnh,Số người chết,Dân số,Số lượng sinh,Tổng người chết
2015,Australian Capital Territory,Acute hepatitis,2,396680,5542,1859
2015,Australian Capital Territory,Alcohol use disorders,5,396680,5542,1859
2015,Australian Capital Territory,Alzheimer's disease and other dementias,33,396680,5542,1859
2015,Australian Capital Territory,Cardiovascular diseases,595,396680,5542,1859
2015,Australian Capital Territory,Chronic kidney disease,25,396680,5542,1859
2015,Australian Capital Territory,Chronic respiratory diseases,121,396680,5542,1859
2015,Australian Capital Territory,Cirrhosis and other chronic liver diseases,26,396680,5542,1859
2015,Australian Capital Territory,Conflict and terrorism,0,396680,5542,1859
2015,Australian Capital Territory,Diabetes mellitus,76,396680,5542,1859
2015,Australian Capital Territory,Diarrheal diseases,4,396680,5542,1859
2015,Australian Capital Territory,Digestive diseases,72,396680,5542,1859
2015,Australian Capital Territory,Drowning,3,396680,5542,1859
2015,Australian Capital Territory,Drug use disorders,1,396680,5542,1859
2015,Australian Capital Territory,Environmental heat and cold exposure,0,396680,5542,1859
2015,Australian Capital Territory,Exposure to forces of nature,1,396680,5542,1859
2015,Australian Capital Territory,"Fire, heat, and hot substances",1,396680,5542,1859
2015,Australian Capital Territory,HIV/AIDS,2,396680,5542,1859
2015,Australian Capital Territory,Interpersonal violence,7,396680,5542,1859
2015,Australian Capital Territory,Lower respiratory infections,42,396680,5542,1859
2015,Australian Capital Territory,Malaria,0,396680,5542,1859
2015,Australian Capital Territory,Maternal disorders,1,396680,5542,1859
2015,Australian Capital Territory,Meningitis,2,396680,5542,1859
2015,Australian Capital Territory,Neonatal disorders,11,396680,5542,1859
2015,Australian Capital Territory,Neoplasms,629,396680,5542,1859
2015,Australian Capital Territory,Nutritional deficiencies,3,396680,5542,1859
2015,Australian Capital Territory,Parkinson's disease,25,396680,5542,1859
2015,Australian Capital Territory,Poisonings,12,396680,5542,1859
2015,Australian Capital Territory,Protein-energy malnutrition,1,396680,5542,1859
2015,Australian Capital Territory,Road injuries,29,396680,5542,1859
2015,Australian Capital Territory,Self-harm,49,396680,5542,1859
2015,Australian Capital Territory,Terrorism (deaths),0,396680,5542,1859
2015,Australian Capital Territory,Tuberculosis,1,396680,5542,1859
2015,New South Wales,Acute hepatitis,121,7632156,100079,53600
2015,New South Wales,Alcohol use disorders,116,7632156,100079,53600
2015,New South Wales,Alzheimer's disease and other dementias,1077,7632156,100079,53600
2015,New South Wales,Cardiovascular diseases,15900,7632156,100079,53600
2015,New South Wales,Chronic kidney disease,724,7632156,100079,53600
2015,New South Wales,Chronic respiratory diseases,2692,7632156,100079,53600
2015,New South Wales,Cirrhosis and other chronic liver diseases,618,7632156,100079,53600
2015,New South Wales,Conflict and terrorism,0,7632156,100079,53600
2015,New South Wales,Diabetes mellitus,1556,7632156,100079,53600
2015,New South Wales,Diarrheal diseases,97,7632156,100079,53600
2015,New South Wales,Digestive diseases,1881,7632156,100079,53600
2015,New South Wales,Drowning,58,7632156,100079,53600
2015,New South Wales,Drug use disorders,5,7632156,100079,53600
2015,New South Wales,Environmental heat and cold exposure,5,7632156,100079,53600
2015,New South Wales,Exposure to forces of nature,8,7632156,100079,53600
2015,New South Wales,"Fire, heat, and hot substances",21,7632156,100079,53600
2015,New South Wales,HIV/AIDS,28,7632156,100079,53600
2015,New South Wales,Interpersonal violence,75,7632156,100079,53600
2015,New South Wales,Lower respiratory infections,998,7632156,100079,53600
2015,New South Wales,Malaria,0,7632156,100079,53600
2015,New South Wales,Maternal disorders,1,7632156,100079,53600
2015,New South Wales,Meningitis,8,7632156,100079,53600
2015,New South Wales,Neonatal disorders,215,7632156,100079,53600
2015,New South Wales,Neoplasms,15681,7632156,100079,53600
2015,New South Wales,Nutritional deficiencies,30,7632156,100079,53600
2015,New South Wales,Parkinson's disease,594,7632156,100079,53600
2015,New South Wales,Poisonings,455,7632156,100079,53600
2015,New South Wales,Protein-energy malnutrition,29,7632156,100079,53600
2015,New South Wales,Road injuries,401,7632156,100079,53600
2015,New South Wales,Self-harm,839,7632156,100079,53600
2015,New South Wales,Terrorism (deaths),0,7632156,100079,53600
2015,New South Wales,Tuberculosis,16,7632156,100079,53600
2015,Northern Territory,Acute hepatitis,1,244103,4004,1171
2015,Northern Territory,Alcohol use disorders,3,244103,4004,1171
2015,Northern Territory,Alzheimer's disease and other dementias,18,244103,4004,1171
2015,Northern Territory,Cardiovascular diseases,327,244103,4004,1171
2015,Northern Territory,Chronic kidney disease,14,244103,4004,1171
2015,Northern Territory,Chronic respiratory diseases,67,244103,4004,1171
2015,Northern Territory,Cirrhosis and other chronic liver diseases,14,244103,4004,1171
2015,Northern Territory,Conflict and terrorism,0,244103,4004,1171
2015,Northern Territory,Diabetes mellitus,42,244103,4004,1171
2015,Northern Territory,Diarrheal diseases,2,244103,4004,1171
2015,Northern Territory,Digestive diseases,40,244103,4004,1171
2015,Northern Territory,Drowning,2,244103,4004,1171
2015,Northern Territory,Drug use disorders,0,244103,4004,1171
2015,Northern Territory,Environmental heat and cold exposure,0,244103,4004,1171
2015,Northern Territory,Exposure to forces of nature,0,244103,4004,1171
2015,Northern Territory,"Fire, heat, and hot substances",1,244103,4004,1171
2015,Northern Territory,HIV/AIDS,1,244103,4004,1171
2015,Northern Territory,Interpersonal violence,3,244103,4004,1171
2015,Northern Territory,Lower respiratory infections,22,244103,4004,1171
2015,Northern Territory,Malaria,0,244103,4004,1171
2015,Northern Territory,Maternal disorders,1,244103,4004,1171
2015,Northern Territory,Meningitis,1,244103,4004,1171
2015,Northern Territory,Neonatal disorders,7,244103,4004,1171
2015,Northern Territory,Neoplasms,346,244103,4004,1171
2015,Northern Territory,Nutritional deficiencies,2,244103,4004,1171
2015,Northern Territory,Parkinson's disease,14,244103,4004,1171
2015,Northern Territory,Poisonings,7,244103,4004,1171
2015,Northern Territory,Protein-energy malnutrition,1,244103,4004,1171
2015,Northern Territory,Road injuries,16,244103,4004,1171
2015,Northern Territory,Self-harm,27,244103,4004,1171
2015,Northern Territory,Terrorism (deaths),0,244103,4004,1171
2015,Northern Territory,Tuberculosis,1,244103,4004,1171
2015,Queensland,Acute hepatitis,46,4784646,61745,29782
2015,Queensland,Alcohol use disorders,52,4784646,61745,29782
2015,Queensland,Alzheimer's disease and other dementias,600,4784646,61745,29782
2015,Queensland,Cardiovascular diseases,8472,4784646,61745,29782
2015,Queensland,Chronic kidney disease,331,4784646,61745,29782
2015,Queensland,Chronic respiratory diseases,1544,4784646,61745,29782
2015,Queensland,Cirrhosis and other chronic liver diseases,383,4784646,61745,29782
2015,Queensland,Conflict and terrorism,0,4784646,61745,29782
2015,Queensland,Diabetes mellitus,858,4784646,61745,29782
2015,Queensland,Diarrheal diseases,61,4784646,61745,29782
2015,Queensland,Digestive diseases,1124,4784646,61745,29782
2015,Queensland,Drowning,59,4784646,61745,29782
2015,Queensland,Drug use disorders,10,4784646,61745,29782
2015,Queensland,Environmental heat and cold exposure,7,4784646,61745,29782
2015,Queensland,Exposure to forces of nature,13,4784646,61745,29782
2015,Queensland,"Fire, heat, and hot substances",12,4784646,61745,29782
2015,Queensland,HIV/AIDS,24,4784646,61745,29782
2015,Queensland,Interpersonal violence,70,4784646,61745,29782
2015,Queensland,Lower respiratory infections,536,4784646,61745,29782
2015,Queensland,Malaria,0,4784646,61745,29782
2015,Queensland,Maternal disorders,1,4784646,61745,29782
2015,Queensland,Meningitis,2,4784646,61745,29782
2015,Queensland,Neonatal disorders,130,4784646,61745,29782
2015,Queensland,Neoplasms,9030,4784646,61745,29782
2015,Queensland,Nutritional deficiencies,23,4784646,61745,29782
2015,Queensland,Parkinson's disease,329,4784646,61745,29782
2015,Queensland,Poisonings,259,4784646,61745,29782
2015,Queensland,Protein-energy malnutrition,22,4784646,61745,29782
2015,Queensland,Road injuries,283,4784646,61745,29782
2015,Queensland,Self-harm,761,4784646,61745,29782
2015,Queensland,Terrorism (deaths),0,4784646,61745,29782
2015,Queensland,Tuberculosis,7,4784646,61745,29782
2015,South Australia,Acute hepatitis,15,1702185,19587,13647
2015,South Australia,Alcohol use disorders,20,1702185,19587,13647
2015,South Australia,Alzheimer's disease and other dementias,441,1702185,19587,13647
2015,South Australia,Cardiovascular diseases,3879,1702185,19587,13647
2015,South Australia,Chronic kidney disease,168,1702185,19587,13647
2015,South Australia,Chronic respiratory diseases,671,1702185,19587,13647
2015,South Australia,Cirrhosis and other chronic liver diseases,167,1702185,19587,13647
2015,South Australia,Conflict and terrorism,0,1702185,19587,13647
2015,South Australia,Diabetes mellitus,430,1702185,19587,13647
2015,South Australia,Diarrheal diseases,25,1702185,19587,13647
2015,South Australia,Digestive diseases,456,1702185,19587,13647
2015,South Australia,Drowning,12,1702185,19587,13647
2015,South Australia,Drug use disorders,5,1702185,19587,13647
2015,South Australia,Environmental heat and cold exposure,5,1702185,19587,13647
2015,South Australia,Exposure to forces of nature,2,1702185,19587,13647
2015,South Australia,"Fire, heat, and hot substances",9,1702185,19587,13647
2015,South Australia,HIV/AIDS,3,1702185,19587,13647
2015,South Australia,Interpersonal violence,22,1702185,19587,13647
2015,South Australia,Lower respiratory infections,332,1702185,19587,13647
2015,South Australia,Malaria,0,1702185,19587,13647
2015,South Australia,Maternal disorders,1,1702185,19587,13647
2015,South Australia,Meningitis,1,1702185,19587,13647
2015,South Australia,Neonatal disorders,32,1702185,19587,13647
