Năm,Bang,Độ tuổi,Bệnh,Số người chết
2024,New South Wales,15–24 years,Drowning,6
2024,New South Wales,15–24 years,Interpersonal violence,9
2024,New South Wales,15–24 years,Lower respiratory infections,6
2024,New South Wales,15–24 years,Neoplasms,7
2024,New South Wales,15–24 years,Poisonings,21
2024,New South Wales,15–24 years,Road injuries,78
2024,New South Wales,15–24 years,Self-harm,73
2024,New South Wales,1–14 years,Interpersonal violence,10
2024,New South Wales,1–14 years,Neoplasms,23
2024,New South Wales,1–14 years,Road injuries,9
2024,New South Wales,25–34 years,Cardiovascular diseases,17
2024,New South Wales,25–34 years,Chronic respiratory diseases,9
2024,New South Wales,25–34 years,Diabetes mellitus,13
2024,New South Wales,25–34 years,Drowning,12
2024,New South Wales,25–34 years,Interpersonal violence,17
2024,New South Wales,25–34 years,Neoplasms,9
2024,New South Wales,25–34 years,Poisonings,67
2024,New South Wales,25–34 years,Road injuries,61
2024,New South Wales,25–34 years,Self-harm,153
2024,New South Wales,35–44 years,Cardiovascular diseases,76
2024,New South Wales,35–44 years,Cirrhosis and other chronic liver diseases,48
2024,New South Wales,35–44 years,Diabetes mellitus,30
2024,New South Wales,35–44 years,Neoplasms,101
2024,New South Wales,35–44 years,Poisonings,96
2024,New South Wales,35–44 years,Road injuries,31
2024,New South Wales,35–44 years,Self-harm,169
2024,New South Wales,45–54 years,Cardiovascular diseases,245
2024,New South Wales,45–54 years,Cirrhosis and other chronic liver diseases,115
2024,New South Wales,45–54 years,Diabetes mellitus,68
2024,New South Wales,45–54 years,Neoplasms,327
2024,New South Wales,45–54 years,Poisonings,112
2024,New South Wales,45–54 years,Self-harm,186
2024,New South Wales,55–64 years,Cardiovascular diseases,463
2024,New South Wales,55–64 years,Chronic respiratory diseases,251
2024,New South Wales,55–64 years,Cirrhosis and other chronic liver diseases,176
2024,New South Wales,55–64 years,Diabetes mellitus,149
2024,New South Wales,55–64 years,Neoplasms,1092
2024,New South Wales,55–64 years,Self-harm,160
2024,New South Wales,65–74 years,Alzheimer's disease and other dementias,263
2024,New South Wales,65–74 years,Cardiovascular diseases,1098
2024,New South Wales,65–74 years,Chronic respiratory diseases,643
2024,New South Wales,65–74 years,Diabetes mellitus,319
2024,New South Wales,65–74 years,Neoplasms,2167
2024,New South Wales,75–84 years,Alzheimer's disease and other dementias,1328
2024,New South Wales,75–84 years,Cardiovascular diseases,2064
2024,New South Wales,75–84 years,Chronic respiratory diseases,1059
2024,New South Wales,75–84 years,Diabetes mellitus,606
2024,New South Wales,75–84 years,Neoplasms,2599
2024,New South Wales,85–94 years,Alzheimer's disease and other dementias,2959
2024,New South Wales,85–94 years,Cardiovascular diseases,3622
2024,New South Wales,85–94 years,Chronic respiratory diseases,848
2024,New South Wales,85–94 years,Diabetes mellitus,599
2024,New South Wales,95 years and over,Alzheimer's disease and other dementias,1018
2024,New South Wales,95 years and over,Cardiovascular diseases,1218
2024,New South Wales,95 years and over,Chronic respiratory diseases,181
2024,New South Wales,95 years and over,Lower respiratory infections,179
2024,New South Wales,Under 1 year,Neonatal disorders,111
2024,Queensland,15–24 years,Drowning,6
2024,Queensland,15–24 years,Interpersonal violence,8
2024,Queensland,15–24 years,Neoplasms,5
2024,Queensland,15–24 years,Poisonings,15
2024,Queensland,15–24 years,Road injuries,53
2024,Queensland,15–24 years,Self-harm,73
2024,Queensland,1–14 years,Drowning,8
2024,Queensland,1–14 years,Lower respiratory infections,5
2024,Queensland,1–14 years,Neoplasms,5
2024,Queensland,1–14 years,Road injuries,11
2024,Queensland,1–14 years,Self-harm,5
2024,Queensland,25–34 years,Cardiovascular diseases,8
2024,Queensland,25–34 years,Interpersonal violence,9
2024,Queensland,25–34 years,Neoplasms,24
2024,Queensland,25–34 years,Poisonings,49
2024,Queensland,25–34 years,Road injuries,65
2024,Queensland,25–34 years,Self-harm,147
2024,Queensland,35–44 years,Cardiovascular diseases,34
2024,Queensland,35–44 years,Cirrhosis and other chronic liver diseases,42
2024,Queensland,35–44 years,Diabetes mellitus,19
2024,Queensland,35–44 years,Neoplasms,68
2024,Queensland,35–44 years,Poisonings,72
2024,Queensland,35–44 years,Road injuries,49
2024,Queensland,35–44 years,Self-harm,167
2024,Queensland,45–54 years,Cardiovascular diseases,225
2024,Queensland,45–54 years,Cirrhosis and other chronic liver diseases,108
2024,Queensland,45–54 years,Diabetes mellitus,49
2024,Queensland,45–54 years,Neoplasms,244
2024,Queensland,45–54 years,Poisonings,80
2024,Queensland,45–54 years,Self-harm,156
2024,Queensland,55–64 years,Cardiovascular diseases,479
2024,Queensland,55–64 years,Chronic respiratory diseases,156
2024,Queensland,55–64 years,Cirrhosis and other chronic liver diseases,140
2024,Queensland,55–64 years,Diabetes mellitus,130
2024,Queensland,55–64 years,Neoplasms,694
2024,Queensland,55–64 years,Self-harm,116
2024,Queensland,65–74 years,Alzheimer's disease and other dementias,182
2024,Queensland,65–74 years,Cardiovascular diseases,845
2024,Queensland,65–74 years,Chronic respiratory diseases,508
2024,Queensland,65–74 years,Diabetes mellitus,223
2024,Queensland,65–74 years,Neoplasms,1489
2024,Queensland,75–84 years,Alzheimer's disease and other dementias,1102
2024,Queensland,75–84 years,Cardiovascular diseases,1519
2024,Queensland,75–84 years,Chronic respiratory diseases,763
2024,Queensland,75–84 years,Diabetes mellitus,411
2024,Queensland,75–84 years,Neoplasms,2013
2024,Queensland,85–94 years,Alzheimer's disease and other dementias,1895
2024,Queensland,85–94 years,Cardiovascular diseases,1803
2024,Queensland,85–94 years,Chronic respiratory diseases,500
2024,Queensland,85–94 years,Diabetes mellitus,308
2024,Queensland,85–94 years,Neoplasms,619
2024,Queensland,95 years and over,Alzheimer's disease and other dementias,625
2024,Queensland,95 years and over,Cardiovascular diseases,677
2024,Queensland,95 years and over,Chronic respiratory diseases,105
2024,Queensland,95 years and over,Lower respiratory infections,116
2024,Queensland,Under 1 year,Neonatal disorders,191
2024,South Australia,15–24 years,Road injuries,15
2024,South Australia,15–24 years,Self-harm,23
2024,South Australia,25–34 years,Poisonings,14
2024,South Australia,25–34 years,Road injuries,11
2024,South Australia,25–34 years,Self-harm,40
2024,South Australia,35–44 years,Cardiovascular diseases,21
2024,South Australia,35–44 years,Cirrhosis and other chronic liver diseases,12
2024,South Australia,35–44 years,Diabetes mellitus,15
2024,South Australia,35–44 years,Neoplasms,35
2024,South Australia,35–44 years,Poisonings,24
2024,South Australia,35–44 years,Road injuries,6
2024,South Australia,35–44 years,Self-harm,39
2024,South Australia,45–54 years,Cardiovascular diseases,72
2024,South Australia,45–54 years,Chronic respiratory diseases,17
2024,South Australia,45–54 years,Cirrhosis and other chronic liver diseases,38
2024,South Australia,45–54 years,Neoplasms,87
2024,South Australia,45–54 years,Poisonings,48
2024,South Australia,45–54 years,Road injuries,17
2024,South Australia,45–54 years,Self-harm,44
2024,South Australia,55–64 years,Cardiovascular diseases,164
2024,South Australia,55–64 years,Chronic respiratory diseases,67
2024,South Australia,55–64 years,Cirrhosis and other chronic liver diseases,42
2024,South Australia,55–64 years,Diabetes mellitus,48
2024,South Australia,55–64 years,Neoplasms,231
2024,South Australia,55–64 years,Self-harm,47
2024,South Australia,65–74 years,Alzheimer's disease and other dementias,82
2024,South Australia,65–74 years,Cardiovascular diseases,259
2024,South Australia,65–74 years,Chronic respiratory diseases,166
2024,South Australia,65–74 years,Diabetes mellitus,72
2024,South Australia,65–74 years,Neoplasms,535
2024,South Australia,75–84 years,Alzheimer's disease and other dementias,416
2024,South Australia,75–84 years,Cardiovascular diseases,555
2024,South Australia,75–84 years,Chronic respiratory diseases,264
2024,South Australia,75–84 years,Diabetes mellitus,143
2024,South Australia,75–84 years,Neoplasms,508
2024,South Australia,85–94 years,Alzheimer's disease and other dementias,895
2024,South Australia,85–94 years,Cardiovascular diseases,962
2024,South Australia,85–94 years,Chronic respiratory diseases,195
2024,South Australia,85–94 years,Diabetes mellitus,193
2024,South Australia,85–94 years,Lower respiratory infections,136
2024,South Australia,95 years and over,Alzheimer's disease and other dementias,300
2024,South Australia,95 years and over,Cardiovascular diseases,353
2024,South Australia,95 years and over,Chronic respiratory diseases,61
2024,South Australia,95 years and over,Lower respiratory infections,60
2024,South Australia,Under 1 year,Neonatal disorders,29
2024,Victoria,15–24 years,Drowning,8
2024,Victoria,15–24 years,Interpersonal violence,7
2024,Victoria,15–24 years,Neoplasms,15
2024,Victoria,15–24 years,Poisonings,29
2024,Victoria,15–24 years,Road injuries,54
2024,Victoria,15–24 years,Self-harm,85
2024,Victoria,1–14 years,Lower respiratory infections,6
2024,Victoria,1–14 years,Neoplasms,8
2024,Victoria,1–14 years,Road injuries,13
2024,Victoria,1–14 years,Self-harm,6
2024,Victoria,25–34 years,Cirrhosis and other chronic liver diseases,9
2024,Victoria,25–34 years,Diabetes mellitus,9
2024,Victoria,25–34 years,Drowning,8
2024,Victoria,25–34 years,Interpersonal violence,9
2024,Victoria,25–34 years,Neoplasms,18
2024,Victoria,25–34 years,Poisonings,82
2024,Victoria,25–34 years,Road injuries,47
2024,Victoria,25–34 years,Self-harm,140
2024,Victoria,35–44 years,Cardiovascular diseases,73
2024,Victoria,35–44 years,Cirrhosis and other chronic liver diseases,35
2024,Victoria,35–44 years,Neoplasms,73
2024,Victoria,35–44 years,Poisonings,125
2024,Victoria,35–44 years,Road injuries,41
2024,Victoria,35–44 years,Self-harm,149
2024,Victoria,45–54 years,Cardiovascular diseases,204
2024,Victoria,45–54 years,Cirrhosis and other chronic liver diseases,91
2024,Victoria,45–54 years,Neoplasms,351
2024,Victoria,45–54 years,Poisonings,122
2024,Victoria,45–54 years,Self-harm,131
2024,Victoria,55–64 years,Cardiovascular diseases,493
2024,Victoria,55–64 years,Chronic respiratory diseases,158
2024,Victoria,55–64 years,Cirrhosis and other chronic liver diseases,147
2024,Victoria,55–64 years,Neoplasms,825
2024,Victoria,55–64 years,Self-harm,118
2024,Victoria,65–74 years,Alzheimer's disease and other dementias,185
2024,Victoria,65–74 years,Cardiovascular diseases,822
