Date,Total_Deaths,Births,Cause,Death_Count
1990,113589.0,262600,Meningitis,99.0
1991,113521.0,259300,Meningitis,96.0
1992,115531.0,262600,Meningitis,97.0
1993,116309.0,259100,Meningitis,86.0
1994,119121.0,259000,Meningitis,86.0
1995,119684.0,255300,Meningitis,84.0
1996,121577.0,253400,Meningitis,84.0
1997,121817.0,251800,Meningitis,83.0
1998,121617.0,249000,Meningitis,83.0
1999,121706.0,251100,Meningitis,82.0
2000,122290.0,250700,Meningitis,79.0
2001,122934.0,247900,Meningitis,78.0
2002,124778.0,250100,Meningitis,75.0
2003,124653.0,250700,Meningitis,73.0
2004,124483.0,251500,Meningitis,70.0
2005,124441.0,265600,Meningitis,55.0
2006,126024.0,274400,Meningitis,53.0
2007,129287.0,293200,Meningitis,51.0
2008,131715.0,298300,Meningitis,50.0
2009,132087.0,300800,Meningitis,49.0
2010,132798.0,300800,Meningitis,49.0
2011,135195.0,302700,Meningitis,48.0
2012,135810.0,312200,Meningitis,48.0
2013,137420.0,307100,Meningitis,45.0
2014,141342.0,310500,Meningitis,45.0
2015,145315.0,306300,Meningitis,46.0
2016,146789.0,311800,Meningitis,44.0
2017,150480.0,305200,Meningitis,45.0
2018,156364.0,304200,Meningitis,46.0
2019,160895.0,306200,Meningitis,46.0
1990,113589.0,262600,Neoplasms,31401.0
1991,113521.0,259300,Neoplasms,31902.0
1992,115531.0,262600,Neoplasms,32785.0
1993,116309.0,259100,Neoplasms,33430.0
1994,119121.0,259000,Neoplasms,34419.0
1995,119684.0,255300,Neoplasms,34883.0
1996,121577.0,253400,Neoplasms,35577.0
1997,121817.0,251800,Neoplasms,35937.0
1998,121617.0,249000,Neoplasms,36234.0
1999,121706.0,251100,Neoplasms,36561.0
2000,122290.0,250700,Neoplasms,37009.0
2001,122934.0,247900,Neoplasms,37485.0
2002,124778.0,250100,Neoplasms,38098.0
2003,124653.0,250700,Neoplasms,37909.0
2004,124483.0,251500,Neoplasms,39058.0
2005,124441.0,265600,Neoplasms,39704.0
2006,126024.0,274400,Neoplasms,40546.0
2007,129287.0,293200,Neoplasms,41904.0
2008,131715.0,298300,Neoplasms,43049.0
2009,132087.0,300800,Neoplasms,43523.0
2010,132798.0,300800,Neoplasms,44010.0
2011,135195.0,302700,Neoplasms,44902.0
2012,135810.0,312200,Neoplasms,45387.0
2013,137420.0,307100,Neoplasms,46192.0
2014,141342.0,310500,Neoplasms,47417.0
2015,145315.0,306300,Neoplasms,48482.0
2016,146789.0,311800,Neoplasms,48970.0
2017,150480.0,305200,Neoplasms,50188.0
2018,156364.0,304200,Neoplasms,52196.0
2019,160895.0,306200,Neoplasms,53700.0
1990,113589.0,262600,"Fire, heat, and hot substances",147.0
1991,113521.0,259300,"Fire, heat, and hot substances",175.0
1992,115531.0,262600,"Fire, heat, and hot substances",149.0
1993,116309.0,259100,"Fire, heat, and hot substances",145.0
1994,119121.0,259000,"Fire, heat, and hot substances",178.0
1995,119684.0,255300,"Fire, heat, and hot substances",147.0
1996,121577.0,253400,"Fire, heat, and hot substances",164.0
1997,121817.0,251800,"Fire, heat, and hot substances",142.0
1998,121617.0,249000,"Fire, heat, and hot substances",138.0
1999,121706.0,251100,"Fire, heat, and hot substances",136.0
2000,122290.0,250700,"Fire, heat, and hot substances",143.0
2001,122934.0,247900,"Fire, heat, and hot substances",122.0
2002,124778.0,250100,"Fire, heat, and hot substances",160.0
2003,124653.0,250700,"Fire, heat, and hot substances",144.0
2004,124483.0,251500,"Fire, heat, and hot substances",121.0
2005,124441.0,265600,"Fire, heat, and hot substances",127.0
