Year,State,Cause,Death_Count
2015,Australian Capital Territory,Acute hepatitis,2
2015,Australian Capital Territory,Alcohol use disorders,5
2015,Australian Capital Territory,Alzheimer's disease and other dementias,33
2015,Australian Capital Territory,Cardiovascular diseases,595
2015,Australian Capital Territory,Chronic kidney disease,25
2015,Australian Capital Territory,Chronic respiratory diseases,121
2015,Australian Capital Territory,Cirrhosis and other chronic liver diseases,26
2015,Australian Capital Territory,Conflict and terrorism,0
2015,Australian Capital Territory,Diabetes mellitus,76
2015,Australian Capital Territory,Diarrheal diseases,4
2015,Australian Capital Territory,Digestive diseases,72
2015,Australian Capital Territory,Drowning,3
2015,Australian Capital Territory,Drug use disorders,1
2015,Australian Capital Territory,Environmental heat and cold exposure,0
2015,Australian Capital Territory,Exposure to forces of nature,1
2015,Australian Capital Territory,"Fire, heat, and hot substances",1
2015,Australian Capital Territory,HIV/AIDS,2
2015,Australian Capital Territory,Interpersonal violence,7
2015,Australian Capital Territory,Lower respiratory infections,42
2015,Australian Capital Territory,Malaria,0
2015,Australian Capital Territory,Maternal disorders,1
2015,Australian Capital Territory,Meningitis,2
2015,Australian Capital Territory,Neonatal disorders,11
2015,Australian Capital Territory,Neoplasms,629
2015,Australian Capital Territory,Nutritional deficiencies,3
2015,Australian Capital Territory,Parkinson's disease,25
2015,Australian Capital Territory,Poisonings,12
2015,Australian Capital Territory,Protein-energy malnutrition,1
2015,Australian Capital Territory,Road injuries,29
2015,Australian Capital Territory,Self-harm,49
2015,Australian Capital Territory,Terrorism (deaths),0
2015,Australian Capital Territory,Tuberculosis,1
2015,New South Wales,Acute hepatitis,121
2015,New South Wales,Alcohol use disorders,116
2015,New South Wales,Alzheimer's disease and other dementias,1077
2015,New South Wales,Cardiovascular diseases,15900
2015,New South Wales,Chronic kidney disease,724
2015,New South Wales,Chronic respiratory diseases,2692
2015,New South Wales,Cirrhosis and other chronic liver diseases,618
2015,New South Wales,Conflict and terrorism,0
2015,New South Wales,Diabetes mellitus,1556
2015,New South Wales,Diarrheal diseases,97
2015,New South Wales,Digestive diseases,1881
2015,New South Wales,Drowning,58
2015,New South Wales,Drug use disorders,5
2015,New South Wales,Environmental heat and cold exposure,5
2015,New South Wales,Exposure to forces of nature,8
2015,New South Wales,"Fire, heat, and hot substances",21
2015,New South Wales,HIV/AIDS,28
2015,New South Wales,Interpersonal violence,75
2015,New South Wales,Lower respiratory infections,998
2015,New South Wales,Malaria,0
2015,New South Wales,Maternal disorders,1
2015,New South Wales,Meningitis,8
2015,New South Wales,Neonatal disorders,215
2015,New South Wales,Neoplasms,15681
2015,New South Wales,Nutritional deficiencies,30
2015,New South Wales,Parkinson's disease,594
2015,New South Wales,Poisonings,455
2015,New South Wales,Protein-energy malnutrition,29
2015,New South Wales,Road injuries,401
2015,New South Wales,Self-harm,839
2015,New South Wales,Terrorism (deaths),0
2015,New South Wales,Tuberculosis,16
2015,Northern Territory,Acute hepatitis,1
2015,Northern Territory,Alcohol use disorders,3
2015,Northern Territory,Alzheimer's disease and other dementias,18
2015,Northern Territory,Cardiovascular diseases,327
2015,Northern Territory,Chronic kidney disease,14
