Year,State,Population
1981,Australian Capital Territory,228616
1981,New South Wales,5250413
1981,Northern Territory,125173
1981,Queensland,2366876
1981,South Australia,1321727
1981,Tasmania,427811
1981,Victoria,3957549
1981,Western Australia,1310520
1982,Australian Capital Territory,233202
1982,New South Wales,5308442
1982,Northern Territory,131052
1982,Queensland,2432582
1982,South Australia,1332913
1982,Tasmania,430143
1982,Victoria,3997278
1982,Western Australia,1342916
1983,Australian Capital Territory,239497
1983,New South Wales,5358911
1983,Northern Territory,136976
1983,Queensland,2487162
1983,South Australia,1347682
1983,Tasmania,433370
1983,Victoria,4040160
1983,Western Australia,1371795
1984,Australian Capital Territory,245483
1984,New South Wales,5410049
1984,Northern Territory,143012
1984,Queensland,2530089
1984,South Australia,1361126
1984,Tasmania,438218
1984,Victoria,4081722
1984,Western Australia,1394491
1985,Australian Capital Territory,252396
1985,New South Wales,5472696
1985,Northern Territory,149538
1985,Queensland,2577784
1985,South Australia,1372520
1985,Tasmania,443069
1985,Victoria,4125006
1985,Western Australia,1423303
1986,Australian Capital Territory,259732
1986,New South Wales,5543020
1986,Northern Territory,154964
1986,Queensland,2630014
1986,South Australia,1383802
1986,Tasmania,446939
1986,Victoria,4166923
1986,Western Australia,1463021
1987,Australian Capital Territory,266423
1987,New South Wales,5629765
1987,Northern Territory,158540
1987,Queensland,2682352
1987,South Australia,1394526
1987,Tasmania,449254
1987,Victoria,4216544
1987,Western Australia,1500450
1988,Australian Capital Territory,272570
1988,New South Wales,5719823
1988,Northern Territory,159581
1988,Queensland,2751289
1988,South Australia,1407066
1988,Tasmania,451602
1988,Victoria,4272058
1988,Western Australia,1541925
1989,Australian Capital Territory,277247
1989,New South Wales,5783677
1989,Northern Territory,161500
1989,Queensland,2836384
1989,South Australia,1420775
1989,Tasmania,456108
1989,Victoria,4327976
1989,Western Australia,1583139
1990,Australian Capital Territory,282888
1990,New South Wales,5841051
1990,Northern Territory,163926
1990,Queensland,2906426
1990,South Australia,1433994
1990,Tasmania,462562
1990,Victoria,4383758
1990,Western Australia,1615812
1991,Australian Capital Territory,289665
1991,New South Wales,5906691
1991,Northern Territory,166152
1991,Queensland,2968722
1991,South Australia,1447392
1991,Tasmania,467239
1991,Victoria,4424569
1991,Western Australia,1639394
1992,Australian Capital Territory,295244
1992,New South Wales,5963196
1992,Northern Territory,169046
1992,Queensland,3032952
1992,South Australia,1455755
1992,Tasmania,470278
1992,Victoria,4452103
1992,Western Australia,1661514
1993,Australian Capital Territory,299869
1993,New South Wales,6003827
1993,Northern Territory,172375
1993,Queensland,3106086
1993,South Australia,1459484
1993,Tasmania,472352
1993,Victoria,4464391
1993,Western Australia,1682073
1994,Australian Capital Territory,302508
1994,New South Wales,6054211
1994,Northern Territory,175362
1994,Queensland,3175239
1994,South Australia,1463334
1994,Tasmania,473672
1994,Victoria,4476646
1994,Western Australia,1708813
1995,Australian Capital Territory,306282
1995,New South Wales,6115522
1995,Northern Territory,180455
1995,Queensland,3245638
1995,South Australia,1465617
1995,Tasmania,474754
1995,Victoria,4503172
1995,Western Australia,1740174
1996,Australian Capital Territory,309756
1996,New South Wales,6186766
